Bus Stops	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15			
Hour 0	0	1	1	0	1	2	0	1	1	0	1	1	0	1	1	0.733333333		
Hour 1	56	5	125	47	5	95	53	8	96	32	69	92	38	75	102	59.86666667		709
Hour 2	34	79	54	1	157	103	37	23	107	75	23	107	64	23	75	64.13333333		0
Hour 3	95	22	132	143	101	60	38	2	13	173	111	73	0	192	141	86.4		
Hour 4	75	51	1	216	130	62	96	319	278	241	201	194	152	121	91	148.5333333		
Hour 5	396	332	278	265	253	181	177	141	88	62	25	430	438	402	372	256		
Hour 6	120	66	29	376	578	486	460	438	407	382	347	325	261	192	150	307.8		
Hour 7	430	407	314	306	233	187	155	104	42	11	626	649	553	517	436	331.3333333		
Hour 8	22	709	597	608	550	490	466	413	338	319	248	216	155	123	72	355.0666667		
	136.4444444	185.7777778	170.1111111	218	223.1111111	185.1111111	164.6666667	161	152.2222222	143.8888889	183.4444444	231.8888889	184.5555556	182.8888889	160	178.8740741		
